run,epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
cnn_augmented,1,3.858152440049913,0.10275555555555556,0.3098444444444444,3.2910861457824705,0.1894,0.4778
cnn_augmented,2,3.1163939532809786,0.21964444444444445,0.5231555555555556,2.735368589782715,0.2914,0.6078
cnn_augmented,3,2.728410862265693,0.29317777777777776,0.6172,2.471578405380249,0.3444,0.6812
cnn_augmented,4,2.4724595232221813,0.34555555555555556,0.6758666666666666,2.239834574890137,0.4084,0.7254
cnn_augmented,5,2.3133287836498684,0.38184444444444443,0.7143555555555555,2.1052910678863523,0.4354,0.7594
cnn_augmented,6,2.1697755742814806,0.41384444444444446,0.7461777777777778,1.9321784393310546,0.471,0.7876
cnn_augmented,7,2.0629581973605684,0.43653333333333333,0.7650222222222223,2.0552690620422362,0.4458,0.7632
cnn_augmented,8,1.9749465036180285,0.4563333333333333,0.7804666666666666,1.9339991312026978,0.473,0.792
cnn_augmented,9,1.8828692257775201,0.47831111111111113,0.799,1.8552491561889648,0.4986,0.7952
cnn_augmented,10,1.8151330919053819,0.49462222222222224,0.8109111111111111,1.7372581289291382,0.5146,0.8176
cnn_augmented,11,1.7438551946428087,0.5121111111111111,0.8212666666666667,1.960765710067749,0.478,0.7848
cnn_augmented,12,1.6873076847500272,0.5265333333333333,0.832,1.6670988153457642,0.5348,0.8332
cnn_augmented,13,1.628618102561103,0.5363333333333333,0.8422666666666667,1.7289831039428711,0.5242,0.8194
cnn_augmented,14,1.5775293957392376,0.5539333333333334,0.8515333333333334,1.6409098743438721,0.5422,0.8428
cnn_augmented,15,1.5281250147925483,0.5636666666666666,0.8582666666666666,1.619288641357422,0.5482,0.845
cnn_augmented,16,1.4726210799747044,0.5783777777777778,0.8669111111111111,1.5654599977493286,0.5698,0.8474
cnn_augmented,17,1.4359700194888645,0.5850444444444445,0.8717777777777778,1.4925267642974853,0.5796,0.8632
cnn_augmented,18,1.3911355996661716,0.5967333333333333,0.8805555555555555,1.5586376213073732,0.567,0.855
cnn_augmented,19,1.3550956189049614,0.6050666666666666,0.8862,1.523407900619507,0.5804,0.8556
cnn_augmented,20,1.3213697192721896,0.6120888888888889,0.8893111111111112,1.4801650527954102,0.5898,0.8606
cnn_augmented,21,1.273862941148546,0.6270888888888889,0.896,1.4678084396362305,0.59,0.8668
cnn_augmented,22,1.2384092222425673,0.6355111111111111,0.9005555555555556,1.4650680408477783,0.6004,0.8702
cnn_augmented,23,1.2108653525458442,0.641,0.9064,1.4532822937011718,0.5986,0.8714
cnn_augmented,24,1.1756902584075928,0.6531333333333333,0.9095777777777778,1.4089066091537477,0.6126,0.876
cnn_augmented,25,1.1486139583587647,0.6572,0.9156222222222222,1.390893000793457,0.6172,0.8804
cnn_augmented,26,1.1169355438232422,0.664,0.9175777777777778,1.4015847068786622,0.615,0.8734
cnn_augmented,27,1.0863155078464084,0.6751555555555555,0.9229555555555555,1.3937625297546388,0.6154,0.8732
cnn_augmented,28,1.0586839203940497,0.6810666666666667,0.9254888888888889,1.4197499084472656,0.6174,0.8752
cnn_augmented,29,1.0358437333001032,0.6887777777777778,0.9284,1.3899495727539062,0.627,0.8768
cnn_augmented,30,1.0130312020831638,0.6929111111111111,0.9328,1.3723271953582763,0.6308,0.8804
cnn_augmented,31,0.9868838499069214,0.7025333333333333,0.9334666666666667,1.4558179328918457,0.6128,0.8726
cnn_augmented,32,0.964344993241628,0.7064666666666667,0.9372888888888888,1.3790649110794067,0.6308,0.8798
cnn_augmented,33,0.9436454896503025,0.7141555555555555,0.9394888888888889,1.36332803440094,0.6376,0.8848
cnn_augmented,34,0.9225551394462586,0.7188444444444444,0.9434,1.385564159965515,0.6256,0.8776
cnn_augmented,35,0.8978816297743055,0.7258888888888889,0.9437111111111111,1.3883848928451539,0.63,0.883
cnn_augmented,36,0.872067252222697,0.7315333333333334,0.9489777777777778,1.3356136436462402,0.6428,0.8892
cnn_augmented,37,0.8595033968607585,0.7358222222222223,0.9504444444444444,1.3949539142608642,0.6384,0.8836
cnn_augmented,38,0.8454066451602512,0.7403333333333333,0.9504444444444444,1.369834258365631,0.6394,0.8828
cnn_augmented,39,0.8214480791409811,0.7446888888888888,0.9533555555555555,1.341200202178955,0.6448,0.8878
cnn_augmented,40,0.8027251377900442,0.7506222222222222,0.9560444444444445,1.3739030462265014,0.6438,0.8848
cnn_augmented,41,0.7800959641138713,0.7566444444444445,0.9576,1.3720947235107421,0.6442,0.8884
cnn_augmented,42,0.7669882535934448,0.7602666666666666,0.9591111111111111,1.3511550387382507,0.6532,0.884
cnn_augmented,43,0.7589774874369304,0.7633777777777778,0.9595111111111111,1.411729504585266,0.6372,0.8808
cnn_augmented,44,0.7386927870856391,0.7707555555555555,0.9623555555555555,1.3999452646255492,0.639,0.8844
cnn_augmented,45,0.711200921037462,0.7764,0.9659111111111112,1.4561178045272827,0.6342,0.8782
cnn_augmented,46,0.7060746103498671,0.7772888888888889,0.9658888888888889,1.4319944925308228,0.644,0.8886
cnn_augmented,47,0.6895716617796156,0.7817111111111111,0.9679333333333333,1.444814289855957,0.6466,0.889
cnn_augmented,48,0.6730577562438117,0.7885777777777778,0.9690444444444445,1.436013924407959,0.6494,0.8854
cnn_augmented,49,0.668506335873074,0.7896888888888889,0.9690222222222222,1.3958867099761962,0.6504,0.886
cnn_augmented,50,0.649594719780816,0.7930666666666667,0.9714666666666667,1.4446588237762452,0.6424,0.8826
