run,epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
cnn_dropout_0,1,3.428331979497274,0.17937777777777777,0.4340222222222222,2.935004793548584,0.2618,0.5706
cnn_dropout_0,2,2.4169069725672405,0.3656,0.6874,2.686465438079834,0.3348,0.642
cnn_dropout_0,3,1.9561137143452962,0.46453333333333335,0.7808222222222222,2.1168352851867676,0.439,0.7518
cnn_dropout_0,4,1.6601510339948866,0.5346444444444445,0.8341555555555555,1.9265234565734863,0.4832,0.7786
cnn_dropout_0,5,1.4160998186323377,0.5967555555555556,0.8741333333333333,1.9075754913330079,0.4918,0.795
cnn_dropout_0,6,1.2104156884087456,0.6454444444444445,0.9048888888888889,1.7984618026733399,0.5186,0.8158
cnn_dropout_0,7,1.009394213189019,0.6983555555555555,0.9318,1.8334968376159668,0.5216,0.8214
cnn_dropout_0,8,0.8283600731743707,0.7479777777777777,0.9536444444444444,1.8787716682434081,0.5298,0.8202
cnn_dropout_0,9,0.6584322894043393,0.7969555555555555,0.9702,2.0715912185668945,0.5188,0.808
cnn_dropout_0,10,0.49608205025990804,0.8447111111111111,0.9848222222222223,1.9645805976867676,0.5418,0.8226
cnn_dropout_0,11,0.3735963470670912,0.8840444444444444,0.9919555555555556,2.0252408744812014,0.5506,0.8318
cnn_dropout_0,12,0.2623632888979382,0.9200444444444444,0.9964444444444445,2.1995209690093995,0.5458,0.8298
cnn_dropout_0,13,0.1915797230799993,0.9417333333333333,0.9986,2.3063578289031983,0.5348,0.8212
cnn_dropout_0,14,0.18415001566145156,0.9414888888888889,0.9988222222222222,2.6598046310424803,0.5158,0.808
cnn_dropout_0,15,0.1553974177254571,0.9518888888888889,0.9991777777777778,2.552861260986328,0.5376,0.8264
cnn_dropout_0,16,0.13471323776510027,0.9579555555555556,0.9993333333333333,2.728163268280029,0.5338,0.8094
cnn_dropout_0,17,0.13171371307505503,0.9585555555555556,0.9992,2.933601547241211,0.5204,0.7952
cnn_dropout_0,18,0.0967080554233657,0.9697777777777777,0.9997555555555555,2.8852912525177,0.522,0.812
cnn_dropout_0,19,0.11128287159295545,0.9635555555555556,0.9998,2.8773317443847657,0.536,0.817
cnn_dropout_0,20,0.1013392723692788,0.9675111111111111,0.9997777777777778,3.1045873992919923,0.513,0.7912
cnn_dropout_0,21,0.09406939191818238,0.9683555555555555,0.9995555555555555,2.8590355003356933,0.5382,0.8226
cnn_dropout_0,22,0.08766390265491274,0.9717333333333333,0.9996444444444444,3.100960185241699,0.533,0.8076
cnn_dropout_0,23,0.09614683960543738,0.969,0.9995333333333334,3.090209159088135,0.5414,0.8112
cnn_dropout_0,24,0.07172285254258248,0.9768,0.9999333333333333,3.2273440269470215,0.5324,0.8072
cnn_dropout_0,25,0.07769355954296059,0.9751777777777778,0.9996666666666667,3.354511350250244,0.5334,0.8066
cnn_dropout_0,26,0.0837100284602907,0.9722,0.9996444444444444,3.3051559211730956,0.5314,0.8042
cnn_dropout_0,27,0.08144449017312792,0.9735333333333334,0.9995777777777778,3.2669440353393555,0.5388,0.814
cnn_dropout_0,28,0.05910483738879363,0.9812444444444445,0.9998444444444444,3.3389285041809083,0.5574,0.8184
cnn_dropout_0,29,0.05805955939955182,0.9816222222222222,0.9998666666666667,3.4213031608581543,0.5406,0.8172
cnn_dropout_0,30,0.07050854517916838,0.9768888888888889,0.9997111111111111,3.3854554946899413,0.5392,0.808
cnn_dropout_0,31,0.05768684614466296,0.981,0.9998222222222222,3.5949041297912596,0.5346,0.8156
cnn_dropout_0,32,0.06960320121943951,0.9773555555555555,0.9996,3.601668543243408,0.5286,0.81
cnn_dropout_0,33,0.049411366921663286,0.9840666666666666,0.9998222222222222,3.57408680229187,0.5352,0.8102
cnn_dropout_0,34,0.06033091947303878,0.9799333333333333,0.9998666666666667,3.6148207397460936,0.5296,0.803
cnn_dropout_0,35,0.06432264665166537,0.9785777777777778,0.9997777777777778,3.4303222473144532,0.5476,0.821
cnn_dropout_0,36,0.03288234993161426,0.9895333333333334,0.9999777777777777,3.7116083404541014,0.5412,0.812
cnn_dropout_0,37,0.06657725733386145,0.9774222222222222,0.9997777777777778,3.6628090072631836,0.5316,0.801
cnn_dropout_0,38,0.04536852144934237,0.9852,0.9998222222222222,3.7234232444763182,0.5376,0.8124
cnn_dropout_0,39,0.047781905904536445,0.9846222222222222,0.9999555555555556,3.75455552444458,0.5348,0.8078
cnn_dropout_0,40,0.052125093024472394,0.9824888888888889,0.9997777777777778,3.859143623352051,0.5332,0.7994
cnn_dropout_0,41,0.03830548201219903,0.9874,0.9999777777777777,3.8398946479797362,0.5324,0.8042
cnn_dropout_0,42,0.05163909657316076,0.9827111111111111,0.9999111111111111,3.6477650497436525,0.5384,0.8142
cnn_dropout_0,43,0.044236389646099675,0.9853111111111111,0.9998888888888889,3.8121789733886717,0.5418,0.8116
cnn_dropout_0,44,0.03527045294402374,0.9886444444444444,0.9999555555555556,3.8338708435058595,0.5474,0.8152
cnn_dropout_0,45,0.04754125788691971,0.9841111111111112,0.9998888888888889,3.840935935211182,0.542,0.8072
cnn_dropout_0,46,0.047589584838350615,0.9839555555555556,0.9999111111111111,3.8570195301055907,0.5404,0.8078
cnn_dropout_0,47,0.03617031080135041,0.9888,0.9999777777777777,3.802743988800049,0.5342,0.8218
cnn_dropout_0,48,0.04053671655613515,0.9859777777777777,0.9998666666666667,4.033182101440429,0.5332,0.8032
cnn_dropout_0,49,0.04078001868381268,0.9870222222222222,0.9998666666666667,3.7356724517822264,0.5428,0.8092
cnn_dropout_0,50,0.04011200222298503,0.9868444444444444,0.9998888888888889,4.019548972320557,0.5382,0.8058
