run,epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
cnn_dropout_50,1,3.983130835808648,0.08426666666666667,0.2729111111111111,3.412724736022949,0.1676,0.4412
cnn_dropout_50,2,3.3100801138559977,0.18288888888888888,0.4706222222222222,2.9036228652954104,0.2704,0.5774
cnn_dropout_50,3,2.897863176006741,0.24995555555555554,0.5789333333333333,2.518886059188843,0.3386,0.6732
cnn_dropout_50,4,2.6514791758219403,0.3002666666666667,0.6397111111111111,2.341892628479004,0.3736,0.7102
cnn_dropout_50,5,2.444653322262234,0.3438,0.6860444444444445,2.1495963508605955,0.4184,0.7496
cnn_dropout_50,6,2.281810343170166,0.3774666666666667,0.7224444444444444,2.0687790996551514,0.4308,0.7622
cnn_dropout_50,7,2.144297410583496,0.4070888888888889,0.7508666666666667,1.9706476692199708,0.4564,0.7822
cnn_dropout_50,8,2.012279804356893,0.4384,0.7755777777777778,1.9812206821441651,0.4508,0.784
cnn_dropout_50,9,1.891469996939765,0.4641111111111111,0.8007777777777778,1.8125617343902587,0.5004,0.8098
cnn_dropout_50,10,1.7798408470153808,0.49064444444444444,0.8197333333333333,1.8502418663024902,0.4908,0.7936
cnn_dropout_50,11,1.68251080110338,0.5138666666666667,0.8383111111111111,1.7552537712097167,0.5148,0.8192
cnn_dropout_50,12,1.5864521959198845,0.5362666666666667,0.8536444444444444,1.7107528068542481,0.5168,0.8234
cnn_dropout_50,13,1.4828562453799778,0.5597555555555556,0.8713777777777778,1.6590628200531006,0.524,0.8382
cnn_dropout_50,14,1.3881615815692478,0.5822444444444445,0.8877111111111111,1.7278821620941163,0.5324,0.829
cnn_dropout_50,15,1.2955171624501547,0.6053777777777778,0.8999111111111111,1.7236660446166991,0.5272,0.8232
