run,epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
mlp_baseline,1,4.0106462922838,0.0948,0.28046666666666664,3.76147183303833,0.1282,0.3508
mlp_baseline,2,3.7981502951727975,0.126,0.3417777777777778,3.6816581756591797,0.1502,0.3722
mlp_baseline,3,3.732815166727702,0.13355555555555557,0.36064444444444443,3.676897998046875,0.1452,0.37
mlp_baseline,4,3.6792574955410426,0.14471111111111112,0.37255555555555553,3.623431611633301,0.158,0.3864
mlp_baseline,5,3.6365462203979493,0.1498,0.38624444444444445,3.575680113983154,0.1598,0.4072
mlp_baseline,6,3.6059397113376193,0.15422222222222223,0.3907111111111111,3.6283887886047363,0.1598,0.3928
mlp_baseline,7,3.5903232507069904,0.15862222222222222,0.3957333333333333,3.596137397766113,0.167,0.3966
mlp_baseline,8,3.5621887666490344,0.1616,0.4016,3.6012518547058106,0.168,0.4014
mlp_baseline,9,3.5405103357526992,0.16648888888888888,0.4069333333333333,3.5725350997924803,0.163,0.4022
mlp_baseline,10,3.5034726373884415,0.172,0.4161111111111111,3.6102975723266604,0.164,0.3904
mlp_baseline,11,3.4973950218200685,0.17202222222222222,0.4186666666666667,3.6267371215820314,0.1558,0.3846
mlp_baseline,12,3.473577977964613,0.17653333333333332,0.4224222222222222,3.6352505100250245,0.1508,0.3882
mlp_baseline,13,3.4492482938130697,0.18057777777777778,0.42744444444444446,3.6235670227050782,0.1634,0.3916
mlp_baseline,14,3.429811794450548,0.18222222222222223,0.4295555555555556,3.615458352661133,0.1702,0.3968
mlp_baseline,15,3.422377883826362,0.18586666666666668,0.43337777777777775,3.6759309730529783,0.1574,0.3748
